Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
HS AUTOMOTIVE OF ALABAMA INC,ENTERPRISE,COFFEE,AL,36330,31.359228,-85.87328,Plastics and Rubber,NO,274.0,0.0,0.0,6376.0
SABIC INNOVATIVE PLASTICS US LLC,OTTAWA,LASALLE,IL,61350,41.334533,-88.755775,Chemicals,YES,28538.0,2.0,0.0,28540.0
GOLDSHIELD FIBERGLASS INC 43-1,DECATUR,ADAMS,IN,46733,40.824511,-84.952383,Plastics and Rubber,YES,7880.0,0.0,0.0,8756.0
BASIN ELECTRIC ANTELOPE VALLEY STATION,BEULAH,MERCER,ND,58523,47.370445,-101.838042,Chemicals,NO,279.0,0.0,0.0,407279.0
EXXONMOBIL BATON ROUGE CHEMICAL PLANT (PART),BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,30.495769,-91.173111,Chemicals,YES,2300.0,0.0,0.0,5700.0
UOP-SHREVEPORT PLANT,SHREVEPORT,CADDO PARISH,LA,71107,32.61514,-93.92517,Chemicals,YES,50.0,0.0,0.0,101110.0
NYRSTAR CLARKSVILLE INC,CLARKSVILLE,MONTGOMERY,TN,37040,36.518398,-87.40293,Metal Mining,NO,110087.0,0.0,0.0,110092.0
ALTEC INDUSTRIES INC.,WATHENA,DONIPHAN,KS,66090,39.756641,-94.9276,Chemicals,YES,5590.0,0.0,0.0,10790.0
DEER PARK_TX (ROH),DEER PARK,HARRIS,TX,77536,29.73,-95.102778,Chemicals,NO,10872.0,0.0,0.0,10925.0
AMERICAS STYRENICS ALLYNS POINT PLANT,GALES FERRY,NEW LONDON,CT,6335,41.441954,-72.078853,Chemicals,YES,7952.49,0.0,0.0,9415.17
JAVELINA CO,CORPUS CHRISTI,NUECES,TX,78407,27.80695,-97.46041,Chemicals,NO,2083.3,0.0,0.0,10891.1
SASOL CHEMICALS (USA) LLC-LAKE CHARLES CHEMICAL COMPLEX,WESTLAKE,CALCASIEU PARISH,LA,70669,30.2588,-93.2937,Chemicals,NO,33165.0,0.0,0.0,33168.0
EXXONMOBIL CHEMICAL CO BATON ROUGE POLYOLEFINS PLANT,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70807,30.560139,-91.2055,Chemicals,NO,28222.0,0.0,0.0,36509.0
WESTLAKE US 2 LLC,WESTLAKE,CALCASIEU PARISH,LA,70669,30.2235,-93.2869,Chemicals,NO,5300.0,0.0,0.0,14700.0
FREEPORT-MCMORAN SIERRITA INC,GREEN VALLEY,PIMA,AZ,85614,31.876444,-111.100472,Metal Mining,YES,20000.0,0.0,0.0,21800.0
GREEN PLAINS CENTRAL CITY LLC,CENTRAL CITY,MERRICK,NE,68826,41.1111,-97.9727,Chemicals,YES,6700.0,0.0,0.0,6715.0
UNITED RIVERHEAD TERMINAL INC,RIVERHEAD,SUFFOLK,NY,11901,40.978917,-72.643111,Petroleum Bulk Terminals,NO,6900.0,0.0,0.0,6901.2
NEVADA GOLD MINES LLC-CORTEZ DISTRICT,CRESCENT VALLEY,LANDER,NV,89821,40.205,-116.6657,Metal Mining,NO,15013.0,0.0,0.0,24166.0
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,YES,12300.0,0.0,0.0,12301.0
CHS INC.  LAUREL REFINERY,LAUREL,YELLOWSTONE,MT,59044,45.65922,-108.76778,Petroleum,NO,0.0,45828.0,0.0,45828.0
VALERO PARTNERS WEST MEMPHIS LLC,WEST MEMPHIS,CRITTENDEN,AR,72301,35.132167,-90.174417,Petroleum Bulk Terminals,NO,1574.24,0.009,0.0,7910.809
AMERICAN CHROME & CHEMICALS,CASTLE HAYNE,NEW HANOVER,NC,28429,34.372516,-77.859466,Chemicals,NO,3081.0,46.0,0.0,221528.64
INEOS PIGMENTS USA INC,ASHTABULA,ASHTABULA,OH,44004,41.889223,-80.763715,Chemicals,NO,11600.0,0.0,0.0,11600.0
VANDEMARK CHEMICAL INC,LOCKPORT,NIAGARA,NY,14094,43.183778,-78.6975,Chemicals,YES,19918.85,0.0,0.0,19939.15
GREEN PLAINS WOOD RIVER LLC,WOOD RIVER,HALL,NE,68883,40.81568,-98.6076,Chemicals,NO,7000.0,0.0,0.0,7001.0
THE SHEPHERD COLOR CO,CINCINNATI,BUTLER,OH,45246,39.31173,-84.47272,Chemicals,NO,49832.0,0.0,0.0,49837.0
INOAC EXTERIOR SYSTEMS LLC,FREMONT,SANDUSKY,OH,43420,41.364093,-83.152116,Plastics and Rubber,NO,32358.399,0.0,0.0,32358.399
MOSAIC FERTILIZER LLC-RIVERVIEW,RIVERVIEW,HILLSBOROUGH,FL,33578,27.864473,-82.385841,Chemicals,NO,600.0,0.0,0.0,34600.0
TARGA DOWNSTREAM LLC - GALENA PARK MARINE TERMINAL,GALENA PARK,HARRIS,TX,77547,29.7375,-95.239,Petroleum Bulk Terminals,NO,2855.0,0.0,0.0,12632.0
ALON USA-BIG SPRING REFINERY,BIG SPRING,HOWARD,TX,79720,32.269104,-101.417673,Petroleum,NO,29787.2,0.0,0.0,53005.0
INDUSTRIAL OILS UNLIMITED LLC,TULSA,TULSA,OK,74127,36.14806,-96.03322,Petroleum,NO,0.0,0.0,0.0,15757.0
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,NO,20100.0,0.0,0.0,21440.0
THE GOODYEAR TIRE & RUBBER CO,HOUSTON,HARRIS,TX,77017,29.704391,-95.255214,Chemicals,YES,114823.65,906.48,0.0,152331.87
KOPPERS PERFORMANCE CHEMICALS,HUBBELL,HOUGHTON,MI,49934,47.176103,-88.424919,Chemicals,NO,335407.0,0.0,0.0,554071.0
TERRA INTERNATIONAL (OKLAHOMA) LLC.,WOODWARD,WOODWARD,OK,73801,36.438556,-99.464083,Chemicals,NO,691686.0,886.0,0.0,821129.0
INV CAMDEN PLANT,LUGOFF,KERSHAW,SC,29078,34.23458,-80.66584,Chemicals,NO,0.0,97000.0,0.0,97000.0
OXY PERMIAN - DENVER UNIT CO2 RECOVERY PLANT,DENVER CITY,YOAKUM,TX,79323,32.995258,-102.819004,Natural Gas Processing,NO,4437.0,0.0,0.0,5748.69
MARATHON MANDAN REFINERY,MANDAN,MORTON,ND,58554,46.8441,-100.8855,Petroleum,NO,5500.0,70.0,0.0,5570.0
MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV,ROBINSON,CRAWFORD,IL,62454,39.002146,-87.725378,Petroleum,NO,0.0,301530.0,0.0,301530.0
OCEANAGOLD HAILE GOLD MINE,KERSHAW,LANCASTER,SC,29067,34.597431,-80.532552,Metal Mining,NO,0.2,79.0,0.0,47079.2
