,COUNTY_FIPS_CODE,WATER_QUALITY_COUNTY_SCORE
10401,5059.0,32.400202902
10405,5061.0,46.58675726
10409,5063.0,38.242229325
10423,5065.0,43.68752251
10437,5067.0,46.295113176
10444,5069.0,48.354623559
10453,5071.0,41.281093574
10461,5073.0,44.612339429
10466,5075.0,41.677826812
10479,5077.0,52.673206081
10484,5079.0,42.045144418
10487,5081.0,51.013763389
10493,5083.0,49.047356346
10502,5085.0,49.578190339
10510,5087.0,37.845496087
10518,5089.0,50.526842652
10526,5091.0,51.267999601
10530,5093.0,50.984692811
10541,5095.0,49.95103669
10545,5097.0,53.422421477
10552,5099.0,36.419594297
10557,5101.0,50.926035091
10566,5103.0,48.047936917
10571,5105.0,28.964605414
10577,5107.0,53.128615807
10585,5109.0,48.916339393
10592,5111.0,41.677826812
10599,5113.0,50.331165157
10605,5115.0,46.219439654
10614,5117.0,45.985229811
10620,5119.0,48.254488448
10641,5121.0,41.070146017
10648,5123.0,45.568470204
10657,5125.0,40.377413231
10667,5127.0,36.419594297
10671,5129.0,45.391432833
10678,5131.0,51.715310007
10691,5133.0,35.835800389
10696,5135.0,48.100387348
10703,5137.0,46.369648708
10710,5139.0,51.864016744
10718,5141.0,40.377413231
10724,5143.0,49.460638913
10738,5145.0,47.607066972
10755,5147.0,46.142592852
10760,5149.0,51.071397986
10770,8001.0,60.65041641
10788,8003.0,53.332464027
10791,8005.0,55.641578742
10810,8007.0,57.084542578
10812,8009.0,51.212618919
10818,8011.0,51.212618919
10821,8013.0,63.205506504
10835,8015.0,60.028106878
10839,8017.0,45.480741906
10843,8019.0,55.595790708
10848,8021.0,57.357903647
10854,8023.0,60.23533016
10858,8025.0,45.654672715
10862,8027.0,54.33204133
10864,8029.0,65.29627719
10871,8031.0,46.862190308
10897,8033.0,49.98682399
10900,8035.0,62.705528264
10914,8037.0,57.160603192
10924,8039.0,52.631554412
10929,8041.0,66.407812958
10970,8043.0,57.118491474
10978,8045.0,61.192093881
10984,8047.0,50.297787796
10987,8049.0,59.806925764
10995,8051.0,58.439681694
11005,8053.0,45.822706416
11006,8055.0,54.088727722
11009,8057.0,49.914989117
11013,8059.0,60.587806911
11040,8061.0,55.90776455
11044,8063.0,51.042664459
11050,8065.0,58.580210988
11052,8067.0,62.647653317
11057,8069.0,64.255222645
11074,8071.0,53.766762645
11082,8073.0,52.079032024
11087,8075.0,59.652099974
11095,8077.0,54.104289805
11113,8079.0,50.397253062
11114,8081.0,55.630171327
11118,8083.0,55.287390997
11124,8085.0,60.298071751
11131,8087.0,54.549785835
11139,8089.0,64.206885623
11145,8091.0,49.914989117
11147,8093.0,58.72910387
11155,8095.0,47.310180668
11159,8097.0,62.06593805
11164,8099.0,61.961984356
11169,8101.0,59.128187171
11181,8103.0,53.545680533
11183,8105.0,59.611347272
11186,8107.0,62.647653317
11192,8109.0,59.429005973
11198,8111.0,45.739401607
11199,8113.0,60.485957037
11203,8115.0,42.045144418
11206,8117.0,55.213411721
11210,8119.0,63.639256489
11215,8121.0,50.715087534
11221,8123.0,60.009260774
11253,8125.0,58.013706368
11260,9001.0,72.055752711
11306,9003.0,68.822024967
11359,9005.0,71.139927903
11400,9007.0,68.316967288
11422,9009.0,63.912971804
11463,9011.0,69.504273346
11494,9013.0,67.473681666
11509,9015.0,67.574214624
11534,10001.0,50.092661167
11550,10003.0,44.505743505
11573,10005.0,55.087604981
11595,11001.0,46.862190308
11617,13001.0,38.609546931
11620,13003.0,40.123177019
11623,13005.0,36.941815743
11624,13007.0,40.123177019
11625,13009.0,44.612339429
11626,13011.0,46.72638676
11629,13013.0,49.730710664
11633,13015.0,44.171469484
11641,13019.0,47.05916402
11645,13021.0,33.506218256
11654,13023.0,33.506218256
11655,13025.0,39.271397877
11659,13027.0,47.490437604
11664,13029.0,50.429969481
11667,13031.0,56.94637281
11672,13033.0,50.866674867
11676,13035.0,38.951511441
11679,13037.0,45.985229811
11683,13039.0,46.064535814
11688,13043.0,46.443079969
11689,13045.0,48.100387348
11696,13047.0,41.070146017
11698,13049.0,40.619242629
11700,13051.0,55.961465178
11713,13053.0,32.400202902
11715,13055.0,42.706995364
11719,13057.0,46.515439203
11726,13059.0,50.621858714
11731,13061.0,40.849819991
11734,13063.0,44.919026072
11741,13065.0,40.377413231
11745,13069.0,56.840157614
11751,13071.0,49.842097811
11759,13073.0,46.58675726
11764,13075.0,39.271397877
11768,13077.0,55.250539381
11776,13079.0,37.845496087
11779,13081.0,50.621858714
11781,13085.0,41.864887482
11782,13087.0,49.500133301
11787,13089.0,25.529007927
11815,13091.0,35.173949443
11819,13093.0,35.835800389
11824,13095.0,41.677826812
11828,13097.0,47.123119998
11832,13099.0,36.941815743
11835,13101.0,46.064535814
11836,13103.0,54.196649983
11842,13105.0,47.549095323
11845,13107.0,55.537954352
11852,13109.0,46.58675726
11855,13111.0,51.664732839
11860,13113.0,52.735034568
11865,13115.0,39.571884994
11871,13117.0,41.677826812
11874,13119.0,48.82703032
11878,13121.0,48.254488448
11912,13123.0,51.535984835
11916,13125.0,51.960732388
11918,13127.0,50.161984247
11923,13129.0,45.391432833
11929,13131.0,49.730710664
11932,13133.0,50.230351117
11936,13135.0,40.377413231
11954,13137.0,45.985229811
11959,13139.0,43.007482482
11969,13141.0,48.82703032
11970,13143.0,42.549632323
11974,13145.0,52.547186086
11982,13147.0,49.61676267
11984,13149.0,45.904634223
11985,13151.0,45.30048497
11990,13153.0,43.558774506
11998,13155.0,28.964605414
12000,13157.0,49.132815695
12008,13159.0,45.985229811
12013,13161.0,44.716691062
12015,13163.0,46.142592852
12022,13165.0,35.173949443
12023,13167.0,37.845496087
12025,13169.0,45.822706416
12027,13171.0,45.30048497
12029,13173.0,32.400202902
12031,13175.0,51.912610462
12039,13177.0,41.864887482
12041,13179.0,50.526842652
12048,13181.0,43.935400133
12049,13183.0,55.479435142
12050,13185.0,58.268295596
12057,13187.0,49.693018319
12058,13189.0,43.813010718
12060,13191.0,48.689974967
12062,13193.0,46.369648708
12066,13195.0,47.310180668
12070,13197.0,48.781764988
12073,13199.0,46.58675726
12079,13201.0,25.529007927
12080,13205.0,48.152288549
12084,13207.0,42.387108928
12087,13209.0,49.174999094
12091,13211.0,45.30048497
12095,13213.0,44.919026072
12099,13217.0,47.941340992
12103,13219.0,40.123177019
12106,13221.0,50.526842652
12111,13223.0,36.941815743
12114,13225.0,47.310180668
12116,13227.0,35.835800389
12120,13229.0,28.964605414
12124,13231.0,44.612339429
12129,13233.0,28.964605414
12132,13235.0,32.400202902
12133,13237.0,52.461356765
12134,13239.0,41.677826812
12135,13241.0,53.296018867
12142,13243.0,47.37099762
12145,13245.0,47.248608205
12152,13247.0,45.1134243
12155,13249.0,35.835800389
12156,13251.0,46.369648708
12160,13253.0,45.30048497
12162,13255.0,47.490437604
12164,13257.0,42.549632323
12167,13259.0,44.612339429
12170,13261.0,53.166308151
12177,13263.0,45.30048497
12181,13265.0,42.387108928
12183,13267.0,50.364319257
12187,13269.0,42.387108928
12190,13271.0,46.064535814
12196,13273.0,38.951511441
12200,13275.0,49.500133301
12207,13277.0,44.285417479
12212,13279.0,52.816290806
12215,13281.0,47.310180668
12217,13283.0,30.974301112
12218,13285.0,48.549021787
12222,13287.0,38.242229325
12225,13289.0,49.768118536
12228,13291.0,47.887170842
12230,13293.0,45.207837049
12233,13295.0,33.506218256
12239,13297.0,40.849819991
12244,13299.0,46.064535814
